logged_at,reason,name,title,url,query
2026-04-23T21:48:41.730848Z,non_org_title,"List of Ngos, Charities and non-profits in South Korea - NGO Base","List of Ngos, Charities and non-profits in South Korea - NGO Base",,"""List of Ngos, Charities and non-profits in South Korea - NGO Base"" ""South Korea"" organization"
2026-04-23T21:48:42.287653Z,missing_url,KR/south-korea-ngos,KR/south-korea-ngos,,"""KR/south-korea-ngos"" ""South Korea"" organization"
2026-04-23T21:48:42.853504Z,missing_url,Civil Society Cooperation Program,Civil Society Cooperation Program,,"""Civil Society Cooperation Program"" ""South Korea"" organization"
2026-04-23T21:48:43.415954Z,non_org_title,List Of Charities In South Korea - AAM Nation Care,List Of Charities In South Korea - AAM Nation Care,,"""List Of Charities In South Korea - AAM Nation Care"" ""South Korea"" organization"
2026-04-23T21:48:43.963120Z,missing_url,"South Korea, the community chest institution","South Korea, the community chest institution",,"""South Korea, the community chest institution"" ""South Korea"" organization"
2026-04-23T21:48:44.517300Z,non_org_title,Worldwide NGO Directory,Worldwide NGO Directory,,"""Worldwide NGO Directory"" ""South Korea"" organization"
2026-04-23T21:48:45.073995Z,non_org_title,Top 8 Nonprofit Organizations in South Korea - Apr 2026,Top 8 Nonprofit Organizations in South Korea - Apr 2026,,"""Top 8 Nonprofit Organizations in South Korea - Apr 2026"" ""South Korea"" organization"
2026-04-23T21:48:45.662340Z,non_org_title,Associations and NGO in South Korea - Expat.com,Associations and NGO in South Korea - Expat.com,,"""Associations and NGO in South Korea - Expat.com"" ""South Korea"" organization"
2026-04-23T21:48:46.233030Z,non_org_title,"List of associations and NGOs in South Korea, non","List of associations and NGOs in South Korea, non",,"""List of associations and NGOs in South Korea, non"" ""South Korea"" organization"
2026-04-23T21:48:46.811110Z,missing_url,South Korea | NGO Explorer,South Korea | NGO Explorer,,"""South Korea | NGO Explorer"" ""South Korea"" organization"
2026-04-23T21:48:47.361302Z,non_org_title,List Of Non-profit organizations in South Korea,List Of Non-profit organizations in South Korea,,"""List Of Non-profit organizations in South Korea"" ""South Korea"" organization"
2026-04-23T21:48:47.930499Z,missing_url,Non-profit organizations which,Non-profit organizations which,,"""Non-profit organizations which"" ""South Korea"" organization"
2026-04-23T21:48:48.493203Z,missing_url,Non-profit organisations based in South Korea - FamousFix,Non-profit organisations based in South Korea - FamousFix,,"""Non-profit organisations based in South Korea - FamousFix"" ""South Korea"" organization"
2026-04-23T21:48:49.048959Z,missing_url,Good Neighbors is a non,Good Neighbors is a non,,"""Good Neighbors is a non"" ""South Korea"" organization"
2026-04-23T21:48:49.615202Z,non_org_title,Category:Non-profit organizations based in South Korea - Wikipedia,Category:Non-profit organizations based in South Korea - Wikipedia,,"""Category:Non-profit organizations based in South Korea - Wikipedia"" ""South Korea"" organization"
