logged_at,reason,name,title,url,query
2026-04-21T15:25:13.617764Z,non_org_title,List of non-governmental organizations in China - Wikipedia,List of non-governmental organizations in China - Wikipedia,,"""List of non-governmental organizations in China - Wikipedia"" ""China"" organization"
2026-04-21T15:25:14.174573Z,non_org_title,This article is a list of domestic and international non,This article is a list of domestic and international non,,"""This article is a list of domestic and international non"" ""China"" organization"
2026-04-21T15:25:14.732472Z,non_org_title,NGO Directory - China Development Brief,NGO Directory - China Development Brief,,"""NGO Directory - China Development Brief"" ""China"" organization"
2026-04-21T15:25:15.292988Z,missing_url,Recording Civic Action in China - Spotlight Exhibits,Recording Civic Action in China - Spotlight Exhibits,,"""Recording Civic Action in China - Spotlight Exhibits"" ""China"" organization"
2026-04-21T15:25:15.851980Z,non_org_title,Worldwide NGO Directory,Worldwide NGO Directory,,"""Worldwide NGO Directory"" ""China"" organization"
2026-04-21T15:25:16.401184Z,non_org_title,The Worldwide NGO Directory,The Worldwide NGO Directory,,"""The Worldwide NGO Directory"" ""China"" organization"
2026-04-21T15:25:16.955587Z,missing_url,Civil Society Organizations (CSOs) - United Nations Development Programme,Civil Society Organizations (CSOs) - United Nations Development Programme,,"""Civil Society Organizations (CSOs) - United Nations Development Programme"" ""China"" organization"
2026-04-21T15:25:17.502611Z,missing_url,China NGO Network for International Exchanges - cnie.org.cn,China NGO Network for International Exchanges - cnie.org.cn,,"""China NGO Network for International Exchanges - cnie.org.cn"" ""China"" organization"
2026-04-21T15:25:18.055212Z,missing_url,Together to Implement the Global Development Initiative China,Together to Implement the Global Development Initiative China,,"""Together to Implement the Global Development Initiative China"" ""China"" organization"
2026-04-21T15:25:18.604821Z,missing_url,NGO Project - ChinaFile,NGO Project - ChinaFile,,"""NGO Project - ChinaFile"" ""China"" organization"
2026-04-21T15:25:19.153413Z,missing_url,The China NGO Project is a community,The China NGO Project is a community,,"""The China NGO Project is a community"" ""China"" organization"
2026-04-21T15:25:19.698271Z,missing_url,"Civil Society, Nonprofit Organizations, and Citizenship in China: An","Civil Society, Nonprofit Organizations, and Citizenship in China: An",,"""Civil Society, Nonprofit Organizations, and Citizenship in China: An "" ""China"" organization"
