logged_at,reason,name,title,url,query
2026-04-24T00:35:52.314706Z,non_org_title,"List of Ngos, Charities and non-profits in South Korea - NGO Base","List of Ngos, Charities and non-profits in South Korea - NGO Base",,"""List of Ngos, Charities and non-profits in South Korea - NGO Base"" ""South Korea"" organization"
2026-04-24T00:35:52.854719Z,missing_url,KR/south-korea-ngos,KR/south-korea-ngos,,"""KR/south-korea-ngos"" ""South Korea"" organization"
2026-04-24T00:35:53.389762Z,missing_url,Civil Society Cooperation Program,Civil Society Cooperation Program,,"""Civil Society Cooperation Program"" ""South Korea"" organization"
2026-04-24T00:35:53.931171Z,non_org_title,List Of Charities In South Korea - AAM Nation Care,List Of Charities In South Korea - AAM Nation Care,,"""List Of Charities In South Korea - AAM Nation Care"" ""South Korea"" organization"
2026-04-24T00:35:54.473466Z,missing_url,"South Korea, the community chest institution","South Korea, the community chest institution",,"""South Korea, the community chest institution"" ""South Korea"" organization"
2026-04-24T00:35:55.020663Z,non_org_title,Top 8 Nonprofit Organizations in South Korea - Apr 2026,Top 8 Nonprofit Organizations in South Korea - Apr 2026,,"""Top 8 Nonprofit Organizations in South Korea - Apr 2026"" ""South Korea"" organization"
2026-04-24T00:35:55.628313Z,non_org_title,Worldwide NGO Directory,Worldwide NGO Directory,,"""Worldwide NGO Directory"" ""South Korea"" organization"
2026-04-24T00:35:56.191535Z,non_org_title,Associations and NGO in South Korea - Expat.com,Associations and NGO in South Korea - Expat.com,,"""Associations and NGO in South Korea - Expat.com"" ""South Korea"" organization"
2026-04-24T00:35:56.814574Z,non_org_title,"List of associations and NGOs in South Korea, non","List of associations and NGOs in South Korea, non",,"""List of associations and NGOs in South Korea, non"" ""South Korea"" organization"
2026-04-24T00:35:57.356417Z,missing_url,South Korea | NGO Explorer,South Korea | NGO Explorer,,"""South Korea | NGO Explorer"" ""South Korea"" organization"
2026-04-24T00:35:57.900229Z,non_org_title,List Of Non-profit organizations in South Korea,List Of Non-profit organizations in South Korea,,"""List Of Non-profit organizations in South Korea"" ""South Korea"" organization"
2026-04-24T00:35:58.438350Z,missing_url,Non-profit organizations which,Non-profit organizations which,,"""Non-profit organizations which"" ""South Korea"" organization"
2026-04-24T00:35:58.984823Z,missing_url,South Korea NGOs and Nonprofits - GlobalGiving,South Korea NGOs and Nonprofits - GlobalGiving,,"""South Korea NGOs and Nonprofits - GlobalGiving"" ""South Korea"" organization"
2026-04-24T00:35:59.526123Z,non_org_title,Category:Non-profit organizations based in South Korea - Wikipedia,Category:Non-profit organizations based in South Korea - Wikipedia,,"""Category:Non-profit organizations based in South Korea - Wikipedia"" ""South Korea"" organization"
