logged_at,reason,name,title,url,query
2026-04-27T14:45:43.065075Z,non_org_title,NGO Directory of Oman | arab.org,NGO Directory of Oman | arab.org,,"""NGO Directory of Oman | arab.org"" ""Oman"" organization"
2026-04-27T14:45:43.609543Z,non_org_title,Directory of Non,Directory of Non,,"""Directory of Non"" ""Oman"" organization"
2026-04-27T14:45:44.164575Z,missing_url,About the NGOs - Portal,About the NGOs - Portal,,"""About the NGOs - Portal"" ""Oman"" organization"
2026-04-27T14:45:44.726677Z,non_org_title,Directory and Platform of NGOs / Charities,Directory and Platform of NGOs / Charities,,"""Directory and Platform of NGOs / Charities"" ""Oman"" organization"
2026-04-27T14:45:45.283338Z,missing_url,OM/oman-ngos,OM/oman-ngos,,"""OM/oman-ngos"" ""Oman"" organization"
2026-04-27T14:45:45.831524Z,missing_url,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,,"""Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat "" ""Oman"" organization"
2026-04-27T14:45:46.374546Z,non_org_title,"The Growing Landscape of NGOs in Muscat Muscat, Oman","The Growing Landscape of NGOs in Muscat Muscat, Oman",,"""The Growing Landscape of NGOs in Muscat Muscat, Oman"" ""Oman"" organization"
2026-04-27T14:45:46.931178Z,missing_url,Charitable Organizations,Charitable Organizations,,"""Charitable Organizations"" ""Oman"" organization"
2026-04-27T14:45:47.484399Z,missing_url,Oman | NGO Explorer,Oman | NGO Explorer,,"""Oman | NGO Explorer"" ""Oman"" organization"
2026-04-27T14:45:48.027744Z,non_org_title,Associations and NGO in Oman - Expat.com,Associations and NGO in Oman - Expat.com,,"""Associations and NGO in Oman - Expat.com"" ""Oman"" organization"
2026-04-27T14:45:48.580914Z,non_org_title,"List of associations and NGOs in Oman, non","List of associations and NGOs in Oman, non",,"""List of associations and NGOs in Oman, non"" ""Oman"" organization"
2026-04-27T14:45:49.125933Z,missing_url,United Nations Civil Society Participation,United Nations Civil Society Participation,,"""United Nations Civil Society Participation"" ""Oman"" organization"
2026-04-27T14:45:49.673379Z,missing_url,Top Non-Profit & Charitable Organizations companies in Oman - ZoomInfo,Top Non-Profit & Charitable Organizations companies in Oman - ZoomInfo,,"""Top Non-Profit & Charitable Organizations companies in Oman - ZoomInfo"" ""Oman"" organization"
