logged_at,reason,name,title,url,query
2026-04-24T06:49:55.337516Z,non_org_title,"List of Ngos, Charities and non-profits in South Korea - NGO Base","List of Ngos, Charities and non-profits in South Korea - NGO Base",,"""List of Ngos, Charities and non-profits in South Korea - NGO Base"" ""South Korea"" organization"
2026-04-24T06:49:55.899444Z,missing_url,KR/south-korea-ngos,KR/south-korea-ngos,,"""KR/south-korea-ngos"" ""South Korea"" organization"
2026-04-24T06:49:56.460843Z,non_org_title,Below is a list of Non,Below is a list of Non,,"""Below is a list of Non"" ""South Korea"" organization"
2026-04-24T06:49:57.022765Z,non_org_title,List Of Charities In South Korea - AAM Nation Care,List Of Charities In South Korea - AAM Nation Care,,"""List Of Charities In South Korea - AAM Nation Care"" ""South Korea"" organization"
2026-04-24T06:49:57.581577Z,missing_url,"South Korea, the community chest institution","South Korea, the community chest institution",,"""South Korea, the community chest institution"" ""South Korea"" organization"
2026-04-24T06:49:58.132136Z,missing_url,Civil Society and NGOs Program - 서울대학교 아시아연구소,Civil Society and NGOs Program - 서울대학교 아시아연구소,,"""Civil Society and NGOs Program - 서울대학교 아시아연구소"" ""South Korea"" organization"
2026-04-24T06:49:58.688876Z,missing_url,NGOs and non,NGOs and non,,"""NGOs and non"" ""South Korea"" organization"
2026-04-24T06:49:59.251730Z,non_org_title,List Of Non-profit organizations in South Korea,List Of Non-profit organizations in South Korea,,"""List Of Non-profit organizations in South Korea"" ""South Korea"" organization"
2026-04-24T06:49:59.835643Z,missing_url,Non-profit organizations which,Non-profit organizations which,,"""Non-profit organizations which"" ""South Korea"" organization"
2026-04-24T06:50:00.407944Z,non_org_title,Top 8 Nonprofit Organizations in South Korea - Apr 2026,Top 8 Nonprofit Organizations in South Korea - Apr 2026,,"""Top 8 Nonprofit Organizations in South Korea - Apr 2026"" ""South Korea"" organization"
2026-04-24T06:50:00.977323Z,missing_url,South Korea | NGO Explorer,South Korea | NGO Explorer,,"""South Korea | NGO Explorer"" ""South Korea"" organization"
2026-04-24T06:50:01.532910Z,missing_url,Non-profit organisations based in South Korea - FamousFix,Non-profit organisations based in South Korea - FamousFix,,"""Non-profit organisations based in South Korea - FamousFix"" ""South Korea"" organization"
2026-04-24T06:50:02.078664Z,missing_url,Good Neighbors is a non,Good Neighbors is a non,,"""Good Neighbors is a non"" ""South Korea"" organization"
2026-04-24T06:50:02.616829Z,missing_url,It includes profiles of non,It includes profiles of non,,"""It includes profiles of non"" ""South Korea"" organization"
2026-04-24T06:50:03.165438Z,non_org_title,Category:Non-profit organizations based in South Korea - Wikipedia,Category:Non-profit organizations based in South Korea - Wikipedia,,"""Category:Non-profit organizations based in South Korea - Wikipedia"" ""South Korea"" organization"
