logged_at,reason,name,title,url,query
2026-04-28T16:13:44.847203Z,non_org_title,NGO Directory of Oman | arab.org,NGO Directory of Oman | arab.org,,"""NGO Directory of Oman | arab.org"" ""Oman"" organization"
2026-04-28T16:13:45.411935Z,non_org_title,Directory of Non,Directory of Non,,"""Directory of Non"" ""Oman"" organization"
2026-04-28T16:13:45.963729Z,non_org_title,"List of Ngos, Charities and non-profits in Oman - NGO Base","List of Ngos, Charities and non-profits in Oman - NGO Base",,"""List of Ngos, Charities and non-profits in Oman - NGO Base"" ""Oman"" organization"
2026-04-28T16:13:46.534760Z,missing_url,OM/oman-ngos,OM/oman-ngos,,"""OM/oman-ngos"" ""Oman"" organization"
2026-04-28T16:13:47.102103Z,missing_url,About the NGOs - Portal,About the NGOs - Portal,,"""About the NGOs - Portal"" ""Oman"" organization"
2026-04-28T16:13:47.654140Z,missing_url,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,,"""Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat "" ""Oman"" organization"
2026-04-28T16:13:48.215164Z,non_org_title,"The Growing Landscape of NGOs in Muscat Muscat, Oman","The Growing Landscape of NGOs in Muscat Muscat, Oman",,"""The Growing Landscape of NGOs in Muscat Muscat, Oman"" ""Oman"" organization"
2026-04-28T16:13:48.758919Z,missing_url,Oman | NGO Explorer,Oman | NGO Explorer,,"""Oman | NGO Explorer"" ""Oman"" organization"
2026-04-28T16:13:49.315709Z,missing_url,Charitable Organizations,Charitable Organizations,,"""Charitable Organizations"" ""Oman"" organization"
2026-04-28T16:13:49.866584Z,missing_url,United Nations Civil Society Participation,United Nations Civil Society Participation,,"""United Nations Civil Society Participation"" ""Oman"" organization"
2026-04-28T16:13:50.414976Z,non_org_title,Associations and NGO in Oman - Expat.com,Associations and NGO in Oman - Expat.com,,"""Associations and NGO in Oman - Expat.com"" ""Oman"" organization"
2026-04-28T16:13:50.964432Z,non_org_title,"List of associations and NGOs in Oman, non","List of associations and NGOs in Oman, non",,"""List of associations and NGOs in Oman, non"" ""Oman"" organization"
2026-04-28T16:13:51.544403Z,non_org_title,Worldwide NGO Directory,Worldwide NGO Directory,,"""Worldwide NGO Directory"" ""Oman"" organization"
