logged_at,reason,name,title,url,query
2026-04-24T16:45:07.887255Z,non_org_title,"List of Ngos, Charities and non-profits in South Korea - NGO Base","List of Ngos, Charities and non-profits in South Korea - NGO Base",,"""List of Ngos, Charities and non-profits in South Korea - NGO Base"" ""South Korea"" organization"
2026-04-24T16:45:08.424800Z,missing_url,KR/south-korea-ngos,KR/south-korea-ngos,,"""KR/south-korea-ngos"" ""South Korea"" organization"
2026-04-24T16:45:08.968895Z,missing_url,Civil Society Cooperation Program,Civil Society Cooperation Program,,"""Civil Society Cooperation Program"" ""South Korea"" organization"
2026-04-24T16:45:09.523661Z,non_org_title,List Of Charities In South Korea - AAM Nation Care,List Of Charities In South Korea - AAM Nation Care,,"""List Of Charities In South Korea - AAM Nation Care"" ""South Korea"" organization"
2026-04-24T16:45:10.076753Z,missing_url,"South Korea, the community chest institution","South Korea, the community chest institution",,"""South Korea, the community chest institution"" ""South Korea"" organization"
2026-04-24T16:45:10.625733Z,non_org_title,Top 8 Nonprofit Organizations in South Korea - Apr 2026,Top 8 Nonprofit Organizations in South Korea - Apr 2026,,"""Top 8 Nonprofit Organizations in South Korea - Apr 2026"" ""South Korea"" organization"
2026-04-24T16:45:11.189018Z,non_org_title,Worldwide NGO Directory,Worldwide NGO Directory,,"""Worldwide NGO Directory"" ""South Korea"" organization"
2026-04-24T16:45:11.730030Z,non_org_title,Associations and NGO in South Korea - Expat.com,Associations and NGO in South Korea - Expat.com,,"""Associations and NGO in South Korea - Expat.com"" ""South Korea"" organization"
2026-04-24T16:45:12.270654Z,non_org_title,"List of associations and NGOs in South Korea, non","List of associations and NGOs in South Korea, non",,"""List of associations and NGOs in South Korea, non"" ""South Korea"" organization"
2026-04-24T16:45:12.804372Z,missing_url,South Korea | NGO Explorer,South Korea | NGO Explorer,,"""South Korea | NGO Explorer"" ""South Korea"" organization"
2026-04-24T16:45:13.346420Z,non_org_title,List Of Non-profit organizations in South Korea,List Of Non-profit organizations in South Korea,,"""List Of Non-profit organizations in South Korea"" ""South Korea"" organization"
2026-04-24T16:45:13.886860Z,missing_url,Non-profit organizations which,Non-profit organizations which,,"""Non-profit organizations which"" ""South Korea"" organization"
2026-04-24T16:45:14.445923Z,missing_url,South Korea NGOs and Nonprofits - GlobalGiving,South Korea NGOs and Nonprofits - GlobalGiving,,"""South Korea NGOs and Nonprofits - GlobalGiving"" ""South Korea"" organization"
2026-04-24T16:45:15.005122Z,non_org_title,Category:Non-profit organizations based in South Korea - Wikipedia,Category:Non-profit organizations based in South Korea - Wikipedia,,"""Category:Non-profit organizations based in South Korea - Wikipedia"" ""South Korea"" organization"
