logged_at,reason,name,title,url,query
2026-04-27T04:39:30.950588Z,non_org_title,NGO Directory of Oman | arab.org,NGO Directory of Oman | arab.org,,"""NGO Directory of Oman | arab.org"" ""Oman"" organization"
2026-04-27T04:39:31.502719Z,non_org_title,Directory of Non,Directory of Non,,"""Directory of Non"" ""Oman"" organization"
2026-04-27T04:39:32.070443Z,non_org_title,Directory and Platform of NGOs / Charities,Directory and Platform of NGOs / Charities,,"""Directory and Platform of NGOs / Charities"" ""Oman"" organization"
2026-04-27T04:39:32.622544Z,missing_url,OM/oman-ngos,OM/oman-ngos,,"""OM/oman-ngos"" ""Oman"" organization"
2026-04-27T04:39:33.175529Z,missing_url,About the NGOs - Portal,About the NGOs - Portal,,"""About the NGOs - Portal"" ""Oman"" organization"
2026-04-27T04:39:33.716908Z,missing_url,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,,"""Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat "" ""Oman"" organization"
2026-04-27T04:39:34.262440Z,non_org_title,"The Growing Landscape of NGOs in Muscat Muscat, Oman","The Growing Landscape of NGOs in Muscat Muscat, Oman",,"""The Growing Landscape of NGOs in Muscat Muscat, Oman"" ""Oman"" organization"
2026-04-27T04:39:34.814172Z,missing_url,Charitable Organizations,Charitable Organizations,,"""Charitable Organizations"" ""Oman"" organization"
2026-04-27T04:39:35.361415Z,non_org_title,Associations and NGO in Oman - Expat.com,Associations and NGO in Oman - Expat.com,,"""Associations and NGO in Oman - Expat.com"" ""Oman"" organization"
2026-04-27T04:39:35.909734Z,non_org_title,"List of associations and NGOs in Oman, non","List of associations and NGOs in Oman, non",,"""List of associations and NGOs in Oman, non"" ""Oman"" organization"
2026-04-27T04:39:36.469885Z,missing_url,United Nations Civil Society Participation,United Nations Civil Society Participation,,"""United Nations Civil Society Participation"" ""Oman"" organization"
2026-04-27T04:39:37.014711Z,missing_url,Charity Organizations In Oman - AAM Nation Care,Charity Organizations In Oman - AAM Nation Care,,"""Charity Organizations In Oman - AAM Nation Care"" ""Oman"" organization"
2026-04-27T04:39:37.563918Z,missing_url,Oman Charitable Organization Oman Charitable Organization,Oman Charitable Organization Oman Charitable Organization,,"""Oman Charitable Organization Oman Charitable Organization"" ""Oman"" organization"
2026-04-27T04:39:38.113053Z,missing_url,Oman | NGO Explorer,Oman | NGO Explorer,,"""Oman | NGO Explorer"" ""Oman"" organization"
